ay 	Aymara 	ltr 	Aymar 	en:Aymara language 	
az 	Azerbaijani 	ltr 	Azərbaycanca / آذربايجان 	en:Azerbaijani language 	
ba 	Bashkir 	ltr 	Башҡорт 	en:Bashkir language 	
bar 	Bavarian 	ltr 	Boarisch 	en:Bavarian language 	
bat-smg 	Samogitian 	ltr 	Žemaitėška 	en:Samogitian language 	ISO 639-3: sgs
bcl 	Bikol 	ltr 	Bikol Central 	en:Bikol language 	ISO: 639-2:bik (also known as Central Bicolano)
be 	Belarusian 	ltr 	Беларуская 	en:Belarusian language 	
be-x-old 	Belarusian (Taraškievica) 	ltr 	Беларуская (тарашкевіца) 	en:Taraškievica 	
bg 	Bulgarian 	ltr 	Български 	bg:Български език 	
bh 	Bihari 	ltr 	भोजपुरी 	en:Bihari language 	
bi 	Bislama 	ltr 	Bislama 	en:Bislama language 	
bm 	Bambara 	ltr 	Bamanankan 	en:Bambara language 	
bn 	Bengali 	ltr 	বাংলা 	en:Bengali language 	
bo 	Tibetan 	ltr 	བོད་ཡིག / Bod skad 	en:Tibetan language 	
bpy 	Bishnupriya Manipuri 	ltr 	ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী 	en:Bishnupriya Manipuri language 	
br 	Breton 	ltr 	Brezhoneg 	en:Breton language 	
bs 	Bosnian 	ltr 	Bosanski 	en:Bosnian language 	
bug 	Buginese 	ltr 	ᨅᨔ ᨕᨘᨁᨗ / Basa Ugi 	en:Buginese language 	
bxr 	Buriat (Russia) 	ltr 	Буряад хэлэн 	en:Buryat language 	
ca 	Catalan 	ltr 	Català 	ca:Català 	
cdo 	Min Dong Chinese 	ltr 	Mìng-dĕ̤ng-ngṳ̄ / 閩東語 	en:Min Dong language 	
ce 	Chechen 	ltr 	Нохчийн 	en:Chechen language 	
ceb 	Cebuano 	ltr 	Sinugboanong Binisaya 	en:Cebuano language 	
ch 	Chamorro 	ltr 	Chamoru 	en:Chamorro language 	
cho 	Choctaw 	ltr 	Choctaw 	en:Choctaw language 	
chr 	Cherokee 	ltr 	ᏣᎳᎩ 	en:Cherokee language 	
chy 	Cheyenne 	ltr 	Tsetsêhestâhese 	en:Cheyenne language 	
ckb 	Kurdish (Sorani) 	rtl 	کوردی 	en:Sorani 	
co 	Corsican 	ltr 	Corsu 	en:Corsican language 	
cr 	Cree 	ltr 	Nehiyaw 	en:Cree language 	
cs 	Czech 	ltr 	Česky 	cs:Čeština 	
csb 	Kashubian 	ltr 	Kaszëbsczi 	en:Kashubian language 	
cu 	Old Church Slavonic / Old Bulgarian 	ltr 	словѣньскъ / slověnĭskŭ 	en:Old Church Slavonic 	
cv 	Chuvash 	ltr 	Чăваш 	en:Chuvash language 	
cy 	Welsh 	ltr 	Cymraeg 	en:Welsh language 	
da 	Danish 	ltr 	Dansk 	da:Dansk (sprog) 	
de 	German 	ltr 	Deutsch 	de:Deutsche Sprache 	
diq 	Dimli 	ltr 	Zazaki 	diq:Zazaki 	
dsb 	Lower Sorbian 	ltr 	Dolnoserbski 	en:Lower Sorbian language 	
dv 	Divehi 	rtl 	ދިވެހިބަސް 	en:Divehi language 	
dz 	Dzongkha 	ltr 	ཇོང་ཁ 	en:Dzongkha language 	
ee 	Ewe 	ltr 	Ɛʋɛ 	en:Ewe language 	
el 	Greek 	ltr 	Ελληνικά 	el:Ελληνική γλώσσα 	
eo 	Esperanto 	ltr 	Esperanto 	eo:Esperanto 	
es 	Spanish 	ltr 	Español 	es:Idioma español 	
et 	Estonian 	ltr 	Eesti 	en:Estonian language 	
eu 	Basque 	ltr 	Euskara 	en:Basque language 	
ext 	Extremaduran 	ltr 	Estremeñu 	en:Extremaduran language 	
fa 	Persian 	rtl 	فارسی 	en:Persian language 	
ff 	Peul 	ltr 	Fulfulde 	en:Peul language 	
fi 	Finnish 	ltr 	Suomi 	fi:Suomen kieli 	
fiu-vro 	Võro 	ltr 	Võro 	en:Võro language 	ISO 639-3: vro
fj 	Fijian 	ltr 	Na Vosa Vakaviti 	en:Fijian language 	
fo 	Faroese 	ltr 	Føroyskt 	en:Faroese language 	
fr 	French 	ltr 	Français 	fr:Français 	
frp 	Arpitan / Franco-Provençal 	ltr 	Arpitan / francoprovençal 	en:Franco-Provençal/Arpitan language 	
fur 	Friulian 	ltr 	Furlan 	en:Friulian language 	
fy 	West Frisian 	ltr 	Frysk 	en:West Frisian language 	
ga 	Irish 	ltr 	Gaeilge 	en:Irish Gaelic language 	
gan 	Gan Chinese 	ltr 	贛語 	en:Gan language 	
gbm 	Garhwali 	ltr 	गढ़वळी 	en:Garhwali language 	
gd 	Scottish Gaelic 	ltr 	Gàidhlig 	en:Scottish Gaelic language 	
gil 	Gilbertese 	ltr 	Taetae ni kiribati 	en:Gilbertese language 	
gl 	Galician 	ltr 	Galego 	en:Galician language 	
gn 	Guarani 	ltr 	Avañe'ẽ 	en:Guarani language 	
got 	Gothic 	ltr 	gutisk 	en:Gothic language 	
gu 	Gujarati 	ltr 	ગુજરાતી 	en:Gujarati language 	
gv 	Manx 	ltr 	Gaelg 	en:Manx language 	
ha 	Hausa 	rtl 	هَوُسَ 	en:Hausa language 	
hak 	Hakka Chinese 	ltr 	客家語/Hak-kâ-ngî 	Hakka language 	
haw 	Hawaiian 	ltr 	Hawai`i 	en:Hawaiian language 	
he 	Hebrew 	rtl 	עברית 	he:עברית 	
hi 	Hindi 	ltr 	हिन्दी 	en:Hindi language 	
ho 	Hiri Motu 	ltr 	Hiri Motu 	en:Hiri Motu language 	
hr 	Croatian 	ltr 	Hrvatski 	en:Croatian language 	
ht 	Haitian 	ltr 	Krèyol ayisyen 	en:Haitian language 	
hu 	Hungarian 	ltr 	Magyar 	hu:Magyar nyelv 	
hy 	Armenian 	ltr 	Հայերեն 	en:Armenian language 	
hz 	Herero 	ltr 	Otsiherero 	en:Herero language 	
ia 	Interlingua 	ltr 	Interlingua 	en:Interlingua language 	
id 	Indonesian 	ltr 	Bahasa Indonesia 	id:Bahasa Indonesia 	
ie 	Interlingue 	ltr 	Interlingue 	en:Interlingue language 	
ig 	Igbo 	ltr 	Igbo 	en:Igbo language 	
ii 	Sichuan Yi 	ltr 	ꆇꉙ / 四川彝语 	en:Sichuan Yi language 	
